BAG-nr openbare ruimte,Straatcode,Openbare ruimtenaam BAG,Woonplaats,Type
0344300000003355,900,Auriollaan,Utrecht,Weg
0344300000000348,910,Aurorastraat,Utrecht,Weg
0344300000003504,911,Austerlitz,Vleuten,Weg
0344300000002644,912,Austerlitzplaats,Vleuten,Weg
0344300000002434,920,Australiëlaan,Utrecht,Weg
0344300000003637,930,Averkamplaan,Utrecht,Weg
0344300000003028,935,Avitusweg,De Meern,Weg
0344300000001857,17687,Avondrood,De Meern,Weg
0344300000000349,938,Aymaradreef,Utrecht,Weg
0344300000000350,940,Azaleastraat,Utrecht,Weg
0344300000001339,950,Aziëlaan,Utrecht,Weg
0344300000002435,955,Azoren,Utrecht,Weg
0344300000002436,960,Baanstraat,Utrecht,Weg
0344300000001446,964,Baarsstraat,Utrecht,Weg
0344300000000352,980,Baden-Powellweg,Utrecht,Weg
0344300000000353,990,Badstraat,Utrecht,Weg
0344300000002437,1004,Bagdaddreef,Utrecht,Weg
0344300000001447,1007,Bahamadreef,Utrecht,Weg
0344300000002683,1008,Bakemastraat,Utrecht,Weg
0344300000003185,17688,Bakerlaan,De Meern,Weg
0344300000000354,1010,Bakhuizen van den Brinkstraat,Utrecht,Weg
0344300000001721,18507,Bakkerbrug,Utrecht,Kunstwerk
0344300000000355,1020,Bakkerstraat,Utrecht,Weg
0344300000000356,1030,Balderikstraat,Utrecht,Weg
0344300000000357,1035,Balearen,Utrecht,Weg
0344300000002950,18508,Balijebrug,Utrecht,Kunstwerk
0344300000000358,1060,Balijelaan,Utrecht,Weg
0344300000000359,1040,Balistraat,Utrecht,Weg
0344300000000360,1045,Balkan,Utrecht,Weg
0344300000000361,1050,Balkstraat,Utrecht,Weg
0344300000000362,1055,Baltimoredreef,Utrecht,Weg
0344300000000363,1070,Bandoengstraat,Utrecht,Weg
0344300000000364,1075,Bangkokdreef,Utrecht,Weg
0344300000000365,1080,Bankaplein,Utrecht,Weg
0344300000000366,1090,Bankastraat,Utrecht,Weg
0344300000000367,1100,Bankstraat,Utrecht,Weg
0344300000000368,1110,Bantamstraat,Utrecht,Weg
0344300000001340,1120,Bantoedreef,Utrecht,Weg
0344300000000369,1140,Barkasstraat,Utrecht,Weg
0344300000000370,1150,Barnsteenlaan,Utrecht,Weg
0344300000001448,5650,Baron van Heemstrastraat,Utrecht,Weg
0344300000000371,1153,Baronie,Utrecht,Weg
0344300000003140,1155,Baronpeerlaan,Vleuten,Weg
0344300000001685,4200,Barthold Entesstraat,Utrecht,Weg
0344300000003444,18509,Bartholomeïbrug,Utrecht,Kunstwerk
0344300000001651,1170,Bartóklaan,Utrecht,Weg
0344300000003580,1160,Bartolomeo Diazlaan,Utrecht,Weg
0344300000001747,1172,Basilicumstraat,Utrecht,Weg
0344300000000372,1175,Bastionweg,Utrecht,Weg
0344300000003357,1180,Bataviastraat,Utrecht,Weg
0344300000003115,1185,Batjanhof,Utrecht,Weg
0344300000001923,1189,Battutalaan,Utrecht,Weg
0344300000000373,1210,Bazuinhof,Utrecht,Weg
0344300000001399,18201,Beatrixpark,Utrecht,Landschappelijk gebied
0344300000002307,17689,Beaufort,De Meern,Weg
0344300000001959,1215,Beefland,De Meern,Weg
0344300000000374,1220,Beekstraat,Utrecht,Weg
0344300000001965,1221,Beeldentuinlaan,Vleuten,Weg
0344300000003555,1223,Beeldhouwersdijk,Utrecht,Weg
0344300000002075,1225,Beemdgrassingel,Vleuten,Weg
0344300000002642,1242,Beerschoten,Vleuten,Weg
0344300000002962,1234,Beerthuizenplantsoen,Utrecht,Weg
0344300000000375,1240,Beerzestraat,Utrecht,Weg
0344300000001341,1250,Beethovenlaan,Utrecht,Weg
0344300000001449,1260,Beethovenplein,Utrecht,Weg
0344300000000376,1290,Begijnehof,Utrecht,Weg
0344300000000377,1300,Begijnekade,Utrecht,Weg
0344300000000378,1310,Begijnesteeg,Utrecht,Weg
0344300000002439,1280,Begoniastraat,Utrecht,Weg
0344300000001450,1326,Beiroetdreef,Utrecht,Weg
0344300000002977,1414,Bekerzwamsingel,Vleuten,Weg
0344300000002151,1337,Bekkeringhof,Utrecht,Weg
0344300000000379,1340,Bekkerstraat,Utrecht,Weg
0344300000002678,1356,Belcampostraat,Utrecht,Weg
0344300000003878,25040,Belgradostraat,Utrecht,Weg
0344300000000380,1350,Bellamystraat,Utrecht,Weg
0344300000001755,1355,Belleperenlaan,Vleuten,Weg
0344300000003297,6315,Belo Horizontedreef,Utrecht,Weg
0344300000002440,1370,Bemuurde Weerd O.Z.,Utrecht,Weg
0344300000000382,1380,Bemuurde Weerd W.Z.,Utrecht,Weg
0344300000002441,1390,Beneluxlaan,Utrecht,Weg
0344300000003514,5069,Benny Goodmanstraat,Utrecht,Weg
0344300000000383,1400,Benschoplaan,Utrecht,Weg
0344300000003827,1401,Bentheimerstraat,Utrecht,Weg
0344300000000384,1407,Berberdreef,Utrecht,Weg
0344300000002142,1408,Berekuil,Utrecht,Weg
0344300000002442,1410,Berezinadreef,Utrecht,Weg
0344300000001763,1415,Bergamotteperenlaan,Vleuten,Weg
0344300000000385,1430,Bergstraat,Utrecht,Weg
0344300000000386,1440,Berkelstraat,Utrecht,Weg
0344300000002443,1450,Berkstraat,Utrecht,Weg
0344300000000387,1460,Berlagestraat,Utrecht,Weg
0344300000001896,1462,Berlijnplein,Utrecht,Weg
0344300000000388,1480,Bernadottelaan,Utrecht,Weg
0344300000002444,16470,Bernard de Waalstraat,Utrecht,Weg
0344300000003665,17881,Bernard van Hamstraat,Vleuten,Weg
0344300000003500,16198,Bert Voetenplantsoen,De Meern,Weg
0344300000001268,14912,Bertha von Suttnerlaan,Utrecht,Weg
0344300000003535,21,Bertus Aafjeslaan,De Meern,Weg
0344300000000389,1510,Bessemerlaan,Utrecht,Weg
0344300000000390,1530,Bethlehemweg,Utrecht,Weg
0344300000001858,17690,Bethunepolder,De Meern,Weg
0344300000003358,1535,Betuwe,Utrecht,Weg
0344300000003706,1549,Beukenboslaan,Vleuten,Weg
0344300000003490,1545,Beukenburg,Vleuten,Weg
0344300000002623,1547,Beukenburghof,Vleuten,Weg
0344300000002622,1546,Beukenburgplaats,Vleuten,Weg
0344300000003491,1548,Beukenburgstede,Vleuten,Weg
0344300000000391,1540,Beukstraat,Utrecht,Weg
0344300000001756,1555,Beurréperenlaan,Vleuten,Weg
0344300000001945,1412,Beurszwam,Vleuten,Weg
0344300000002445,1560,Beverstraat,Utrecht,Weg
0344300000001451,1570,Bevinlaan,Utrecht,Weg
0344300000001812,1575,Bevrijdingslaan,Utrecht,Weg
0344300000001722,18510,Bezembrug,Utrecht,Kunstwerk
0344300000000351,14870,B.F. Suermanstraat,Utrecht,Weg
0344300000002666,1586,Bielsstraat,Utrecht,Weg
0344300000002140,1583,Bieslookstraat,Utrecht,Weg
0344300000000392,2540,Bijleveldstraat,Utrecht,Weg
0344300000002234,17882,Bijleveldweg,Vleuten,Weg
0344300000001723,18511,Bijlhouwerbrug,Utrecht,Kunstwerk
0344300000000393,2550,Bijlhouwerstraat,Utrecht,Weg
0344300000003186,17691,Bikkerspolder,De Meern,Weg
0344300000003359,1590,Bilderdijkstraat,Utrecht,Weg
0344300000003810,6171,Billie Holidaystraat,Utrecht,Weg
0344300000001342,1600,Billitonkade,Utrecht,Weg
0344300000002446,1610,Billitonstraat,Utrecht,Weg
0344300000003432,18702,Biltsche Grift,Utrecht,Water
0344300000000394,1615,Biltse Rading,Utrecht,Weg
0344300000001452,1620,Biltsestraatweg,Utrecht,Weg
0344300000000395,1630,Biltstraat,Utrecht,Weg
0344300000001990,1629,Binnentuinlaan,Vleuten,Weg
0344300000003538,1631,Birkhoven,Vleuten,Weg
0344300000002727,1632,Birkhovenplaats,Vleuten,Weg
0344300000003062,1635,Birstumerraklaan,Utrecht,Weg
0344300000002447,1640,Bisschopsplein,Utrecht,Weg
0344300000002641,1642,Bisschopssteeg,Utrecht,Weg
0344300000003623,18703,Bisschopswetering,Utrecht,Water
0344300000001290,1650,Bizetlaan,Utrecht,Weg
0344300000003820,1653,Blaarkopstraat,Utrecht,Weg
0344300000001453,1660,Bladstraat,Utrecht,Weg
0344300000003119,1662,Bladvlinder,Utrecht,Weg
0344300000001818,1665,Blaeulaan,Utrecht,Weg
0344300000000397,1673,Blankvoornstraat,Utrecht,Weg
0344300000003890,25054,Blauwe kaaszwam,Vleuten,Weg
0344300000000398,1680,Blauwe-Vogelweg,Utrecht,Weg
0344300000002448,1690,Blauwkapelseweg,Utrecht,Weg
0344300000000217,1710,Bleekstraat,Utrecht,Weg
0344300000002878,1720,Blekerstraat,Utrecht,Weg
0344300000000218,1730,Bleyenburgstraat,Utrecht,Weg
0344300000001255,1740,Blindesteeg thans Springweg,Utrecht,Weg
0344300000001973,1765,Bloementuinlaan,Vleuten,Weg
0344300000000219,1760,Bloemstraat,Utrecht,Weg
0344300000002879,1770,Bloesemstraat,Utrecht,Weg
0344300000003734,1785,Blois van Treslongplein,Utrecht,Weg
0344300000000220,1780,Blois van Treslongstraat,Utrecht,Weg
0344300000000221,1790,Blokstraat,Utrecht,Weg
0344300000002880,1804,Boadreef,Utrecht,Weg
0344300000003534,1806,Boccacciopad,Utrecht,Weg
0344300000002087,17011,Bochtdijk,Haarzuilens,Weg
0344300000003873,25035,Boekareststraat,Utrecht,Weg
0344300000003031,17692,Boekbinderslaan,De Meern,Weg
0344300000000222,1810,Boekelaan,Utrecht,Weg
0344300000002881,1820,Boelesteinlaan,Utrecht,Weg
0344300000000223,1830,Boerhaavelaan,Utrecht,Weg
0344300000000224,1840,Boerhaaveplein,Utrecht,Weg
0344300000002341,1842,Boeroehof,Utrecht,Weg
0344300000003360,1845,Bogotadreef,Utrecht,Weg
0344300000002882,1860,Boisotstraat,Utrecht,Weg
0344300000001947,1871,Bokaalzwam,Vleuten,Weg
0344300000002730,1875,Bokkeduinen,Vleuten,Weg
0344300000003541,1877,Bokkeduinenhof,Vleuten,Weg
0344300000002731,1876,Bokkeduinenplaats,Vleuten,Weg
0344300000000225,1870,Bokstraat,Utrecht,Weg
0344300000001343,1887,Boliviadreef,Utrecht,Weg
0344300000001454,1890,Bolksbeekstraat,Utrecht,Weg
0344300000000226,1900,Bollenhofsestraat,Utrecht,Weg
0344300000000227,1903,Bolognalaan,Utrecht,Weg
0344300000002883,1910,Bolstraat,Utrecht,Weg
0344300000000228,1923,Bombaydreef,Utrecht,Weg
0344300000001455,1927,Bonairedreef,Utrecht,Weg
0344300000002133,1928,Bonenkruidstraat,Utrecht,Weg
0344300000003304,1930,Bonistraat,Utrecht,Weg
0344300000002884,1950,Bontekoelaan,Utrecht,Weg
0344300000000229,1960,Boogstraat,Utrecht,Weg
0344300000003361,1970,Boomgaardlaan,Utrecht,Weg
0344300000000230,1980,Boomstraat,Utrecht,Weg
0344300000002885,1990,Boorstraat,Utrecht,Weg
0344300000001344,2000,Boothstraat,Utrecht,Weg
0344300000000231,2020,Borneostraat,Utrecht,Weg
0344300000002049,2035,Bosbesplantsoen,Utrecht,Weg
0344300000001456,2050,Bosboom Toussaintstraat,Utrecht,Weg
0344300000000232,2040,Bosboomstraat,Utrecht,Weg
0344300000002645,19527,Bosch en Duinpark,Vleuten,Landschappelijk gebied
0344300000002886,2070,Bosch van Drakesteinlaan,Utrecht,Weg
0344300000000233,2078,Bosschahof,Utrecht,Weg
0344300000003575,2080,Bosschastraat,Utrecht,Weg
0344300000000234,2095,Bostondreef,Utrecht,Weg
0344300000001808,2105,Boterbloemsingel,Vleuten,Weg
0344300000002887,2100,Boterstraat,Utrecht,Weg
0344300000001859,17693,Boteyken,De Meern,Weg
0344300000001748,19066,Bottensteinbrug,Vleuten,Kunstwerk
0344300000002235,17883,Bottensteinweg,Vleuten,Weg
0344300000002048,2433,Boudewijn Büchstraat,Utrecht,Weg
0344300000002236,17884,Boutensstraat,Vleuten,Weg
0344300000000235,2140,Bouwstraat,Utrecht,Weg
0344300000003887,25050,Boven Catharijnepoort,Utrecht,Weg
0344300000000236,2142,Boven Clarenburg,Utrecht,Weg
0344300000002888,2148,Boven Vredenburg,Utrecht,Weg
0344300000003768,16353,Boven Vredenburgpassage,Utrecht,Weg
0344300000001285,2149,Boven Zevenwouden,Utrecht,Weg
0344300000001860,17694,Bovenpolder,De Meern,Weg
0344300000003335,961,Boylelaan,Utrecht,Weg
0344300000000237,2150,Braamstraat,Utrecht,Weg
0344300000000238,2170,Brailledreef,Utrecht,Weg
0344300000001639,2185,Bramerijweg,Utrecht,Weg
0344300000002889,2200,Brandenburchdreef,Utrecht,Weg
0344300000001662,2210,Brandstraat,Utrecht,Weg
0344300000000239,2222,Brasemstraat,Utrecht,Weg
0344300000001906,2226,Bratislavapromenade,Utrecht,Weg
0344300000001345,2238,Braziliëdreef,Utrecht,Weg
0344300000001457,2240,Brederoplein,Utrecht,Weg
0344300000000240,2250,Breedstraat,Utrecht,Weg
0344300000002749,2252,Breeveen,Vleuten,Weg
0344300000002751,2253,Breeveenhof,Vleuten,Weg
0344300000002750,2254,Breeveenplaats,Vleuten,Weg
0344300000000241,2260,Breitnerlaan,Utrecht,Weg
0344300000002890,2270,Bremstraat,Utrecht,Weg
0344300000003362,2275,Brennerbaan,Utrecht,Weg
0344300000001724,18512,Brennerbrug,Utrecht,Kunstwerk
0344300000000242,2277,Bretagne,Utrecht,Weg
0344300000001725,18513,Brigittenbrug,Utrecht,Kunstwerk
0344300000000243,2300,Brigittenstraat,Utrecht,Weg
0344300000001458,2310,Briljantlaan,Utrecht,Weg
0344300000001847,17012,Brink,Haarzuilens,Weg
0344300000003179,17013,Brinkstraat,Haarzuilens,Weg
0344300000002891,2320,Broeder Alarmstraat,Utrecht,Weg
0344300000002237,17885,Broederschaplaan,Vleuten,Weg
0344300000000244,2340,Broekhuysendreef,Utrecht,Weg
0344300000001459,2350,Broerestraat,Utrecht,Weg
0344300000000245,2370,Brouwerstraat,Utrecht,Weg
0344300000000246,2380,Brucknerlaan,Utrecht,Weg
0344300000002393,2390,Brugsteeg,Utrecht,Weg
0344300000000247,2400,Brugstraat,Utrecht,Weg
0344300000003167,2405,Bruidsbloemlaan,Vleuten,Weg
0344300000003363,2420,Bruisdreef,Utrecht,Weg
0344300000002394,2424,Bruntenhof,Utrecht,Weg
0344300000000248,2425,Bruntensteeg,Utrecht,Weg
0344300000001900,2427,Brusselplein,Utrecht,Weg
0344300000002964,18643,Brusselviaduct,Utrecht,Kunstwerk
0344300000000249,2430,Bucheliusstraat,Utrecht,Weg
0344300000002395,2440,Budapestlaan,Utrecht,Weg
0344300000002760,2441,Buiten de Burchten,Vleuten,Weg
0344300000001946,2451,Bundelzwam,Vleuten,Weg
0344300000000250,2445,Bunnikseweg,Utrecht,Weg
0344300000002761,2443,Burchtplateau,Vleuten,Weg
0344300000003689,2444,Burchtplein,Vleuten,Weg
0344300000002591,2449,Burchtpoort,Vleuten,Weg
0344300000002589,2447,Burchtpromenade,Vleuten,Weg
0344300000002740,18761,Burchtvijver,Vleuten,Water
0344300000002590,2448,Burchtwal,Vleuten,Weg
0344300000002396,4500,Burgemeester Fockema Andreaelaan,Utrecht,Weg
0344300000002700,10112,Burgemeester Middelweerdbaan,De Meern,Weg
0344300000002998,10114,Burgemeester Middelweerdplaats,De Meern,Weg
0344300000000251,11050,Burgemeester Norbruislaan,Utrecht,Weg
0344300000003717,11051,Burgemeester Norbruispad,Utrecht,Weg
0344300000000252,12950,Burgemeester Reigerstraat,Utrecht,Weg
0344300000000253,14170,Burgemeester Smitsstraat,Utrecht,Weg
