"streetname";"place";"Type"
"Beneluxlaan";"Utrecht";"Road"
"Benny Goodmanstraat";"Utrecht";"Road"
"Benschoplaan";"Utrecht";"Road"
"Bentheimerstraat";"Utrecht";"Road"
"Berberdreef";"Utrecht";"Road"
"Berekuil";"Utrecht";"Road"
"Berezinadreef";"Utrecht";"Road"
"Bergamotteperenlaan";"Vleuten";"Road"
"Bergstraat";"Utrecht";"Road"
"Berkelstraat";"Utrecht";"Road"
"Berkstraat";"Utrecht";"Road"
"Berlagestraat";"Utrecht";"Road"
"Berlijnplein";"Utrecht";"Road"
"Bernadottelaan";"Utrecht";"Road"
"Bernard de Waalstraat";"Utrecht";"Road"
"Bernard van Hamstraat";"Vleuten";"Road"
"Bert Voetenplantsoen";"De Meern";"Road"
"Bertha von Suttnerlaan";"Utrecht";"Road"
"Bertus Aafjeslaan";"De Meern";"Road"
"Bessemerlaan";"Utrecht";"Road"
"Bethlehemweg";"Utrecht";"Road"
"Bethunepolder";"De Meern";"Road"
"Betuwe";"Utrecht";"Road"
"Beukenboslaan";"Vleuten";"Road"
"Beukenburg";"Vleuten";"Road"
"Beukenburghof";"Vleuten";"Road"
"Beukenburgplaats";"Vleuten";"Road"
"Beukenburgstede";"Vleuten";"Road"
"Beukstraat";"Utrecht";"Road"
"Beurréperenlaan";"Vleuten";"Road"
"Beurszwam";"Vleuten";"Road"
"Beverstraat";"Utrecht";"Road"
"Bevinlaan";"Utrecht";"Road"
"Bevrijdingslaan";"Utrecht";"Road"
"Bezembrug";"Utrecht";"Art"
"B.F. Suermanstraat";"Utrecht";"Road"
"Bielsstraat";"Utrecht";"Road"
"Bieslookstraat";"Utrecht";"Road"
"Bijleveldstraat";"Utrecht";"Road"
"Bijleveldweg";"Vleuten";"Road"
"Bijlhouwerbrug";"Utrecht";"Art"
"Bijlhouwerstraat";"Utrecht";"Road"
"Bikkerspolder";"De Meern";"Road"
"Bilderdijkstraat";"Utrecht";"Road"
"Billie Holidaystraat";"Utrecht";"Road"
"Billitonkade";"Utrecht";"Road"
"Billitonstraat";"Utrecht";"Road"
"Biltsche Grift";"Utrecht";"Water"
"Biltse Rading";"Utrecht";"Road"
"Biltsestraatweg";"Utrecht";"Road"
"Biltstraat";"Utrecht";"Road"
"Binnentuinlaan";"Vleuten";"Road"
"Birkhoven";"Vleuten";"Road"
"Birkhovenplaats";"Vleuten";"Road"
"Birstumerraklaan";"Utrecht";"Road"
"Bisschopsplein";"Utrecht";"Road"
"Bisschopssteeg";"Utrecht";"Road"
"Bisschopswetering";"Utrecht";"Water"
"Bizetlaan";"Utrecht";"Road"
"Blaarkopstraat";"Utrecht";"Road"
"Bladstraat";"Utrecht";"Road"
"Bladvlinder";"Utrecht";"Road"
"Blaeulaan";"Utrecht";"Road"
"Blankvoornstraat";"Utrecht";"Road"
"Blauwe kaaszwam";"Vleuten";"Road"
"Blauwe-Vogelweg";"Utrecht";"Road"
"Blauwkapelseweg";"Utrecht";"Road"
"Bleekstraat";"Utrecht";"Road"
"Blekerstraat";"Utrecht";"Road"
"Bleyenburgstraat";"Utrecht";"Road"
"Blindesteeg thans Springweg";"Utrecht";"Road"
"Bloementuinlaan";"Vleuten";"Road"
"Bloemstraat";"Utrecht";"Road"
"Bloesemstraat";"Utrecht";"Road"
"Blois van Treslongplein";"Utrecht";"Road"
"Blois van Treslongstraat";"Utrecht";"Road"
"Blokstraat";"Utrecht";"Road"
"Boadreef";"Utrecht";"Road"
"Boccacciopad";"Utrecht";"Road"
"Bochtdijk";"Haarzuilens";"Road"
"Boekareststraat";"Utrecht";"Road"
"Boekbinderslaan";"De Meern";"Road"
"Boekelaan";"Utrecht";"Road"
"Boelesteinlaan";"Utrecht";"Road"
"Boerhaavelaan";"Utrecht";"Road"
"Boerhaaveplein";"Utrecht";"Road"
"Boeroehof";"Utrecht";"Road"
"Bogotadreef";"Utrecht";"Road"
"Boisotstraat";"Utrecht";"Road"
"Bokaalzwam";"Vleuten";"Road"
"Bokkeduinen";"Vleuten";"Road"
"Bokkeduinenhof";"Vleuten";"Road"
"Bokkeduinenplaats";"Vleuten";"Road"
"Bokstraat";"Utrecht";"Road"
"Boliviadreef";"Utrecht";"Road"
"Bolksbeekstraat";"Utrecht";"Road"
"Bollenhofsestraat";"Utrecht";"Road"
"Bolognalaan";"Utrecht";"Road"
"Bolstraat";"Utrecht";"Road"
"Bombaydreef";"Utrecht";"Road"
"Bonairedreef";"Utrecht";"Road"
"Bonenkruidstraat";"Utrecht";"Road"
"Bonistraat";"Utrecht";"Road"
"Bontekoelaan";"Utrecht";"Road"
"Boogstraat";"Utrecht";"Road"
"Boomgaardlaan";"Utrecht";"Road"
"Boomstraat";"Utrecht";"Road"
"Boorstraat";"Utrecht";"Road"
"Boothstraat";"Utrecht";"Road"
"Borneostraat";"Utrecht";"Road"
"Bosbesplantsoen";"Utrecht";"Road"
"Bosboom Toussaintstraat";"Utrecht";"Road"
"Bosboomstraat";"Utrecht";"Road"
"Bosch en Duinpark";"Vleuten";"Rural area"
"Bosch van Drakesteinlaan";"Utrecht";"Road"
"Bosschahof";"Utrecht";"Road"
"Bosschastraat";"Utrecht";"Road"
"Bostondreef";"Utrecht";"Road"
"Boterbloemsingel";"Vleuten";"Road"
"Boterstraat";"Utrecht";"Road"
"Boteyken";"De Meern";"Road"
"Bottensteinbrug";"Vleuten";"Art"
"Bottensteinweg";"Vleuten";"Road"
"Boudewijn Büchstraat";"Utrecht";"Road"
"Boutensstraat";"Vleuten";"Road"
"Bouwstraat";"Utrecht";"Road"
"Boven Catharijnepoort";"Utrecht";"Road"
"Boven Clarenburg";"Utrecht";"Road"
"Boven Vredenburg";"Utrecht";"Road"
"Boven Vredenburgpassage";"Utrecht";"Road"
"Boven Zevenwouden";"Utrecht";"Road"
"Bovenpolder";"De Meern";"Road"
"Boylelaan";"Utrecht";"Road"
"Braamstraat";"Utrecht";"Road"
"Brailledreef";"Utrecht";"Road"
"Bramerijweg";"Utrecht";"Road"
"Brandenburchdreef";"Utrecht";"Road"
"Brandstraat";"Utrecht";"Road"
"Brasemstraat";"Utrecht";"Road"
"Bratislavapromenade";"Utrecht";"Road"
