"streetname";"place";"Type"
"Het hoge bospad";"Utrecht";"Road"
"Het Leiwerk";"Vleuten";"Road"
"Het Lint - De Meern";"De Meern";"Road"
"Het Lint - De Meern";"Vleuten";"Road"
"Het Lint - Het Zand";"Vleuten";"Road"
"Het Lint - Het Zand";"Utrecht";"Road"
"Het Lint - Terwijde";"Utrecht";"Road"
"Het Lint - Terwijde";"Vleuten";"Road"
"Het Lint - Vleuten";"Vleuten";"Road"
"Het Lint - Vleuterweide";"Vleuten";"Road"
"Het Lint- Hoge Woerd";"De Meern";"Road"
"Heumenseboslaan";"Vleuten";"Road"
"Heuveloord";"Utrecht";"Road"
"Heycopplantsoen";"Utrecht";"Road"
"Heycopplein";"Utrecht";"Road"
"Heycopstraat";"Utrecht";"Road"
"H.F. van Riellaan";"Utrecht";"Road"
"Hieronymusplantsoen";"Utrecht";"Road"
"Hijmans van den Berghlaan";"Utrecht";"Road"
"Hildebranddreef";"Utrecht";"Road"
"Himalaya";"Utrecht";"Road"
"Hindersteinlaan";"Vleuten";"Road"
"Hindersteinpassage";"Vleuten";"Road"
"Hispanioladreef";"Utrecht";"Road"
"H.J. Schimmelplein";"Utrecht";"Road"
"H.J. Schimmelstraat";"Utrecht";"Road"
"Hobbemastraat";"Utrecht";"Road"
"Hoefijzerstraat";"Utrecht";"Road"
"Hoefsmederijpad";"Utrecht";"Road"
"Hoefsmederijstraat";"Utrecht";"Road"
"Hoekelumseboslaan";"Vleuten";"Road"
"Hoendiepstraat";"Utrecht";"Road"
"Hof ter Weydeweg";"Vleuten";"Road"
"Hof ter Weydeweg";"Utrecht";"Road"
"Hof van Amsterdam";"Utrecht";"Road"
"Hof van Bern";"Utrecht";"Road"
"Hof van Helsinki";"Utrecht";"Road"
"Hof van Monaco";"Utrecht";"Road"
"Hof van St.-Jan";"Utrecht";"Road"
"Hof van Transwijk";"Utrecht";"Road"
"Hofburcht";"Vleuten";"Road"
"Hofland";"Vleuten";"Road"
"Hofmansplaat";"De Meern";"Road"
"Hofnarlaan";"Utrecht";"Road"
"Hofpoort";"Utrecht";"Road"
"Hofstraat";"Utrecht";"Road"
"Hoge Woerdplein";"De Meern";"Road"
"Hogelanden W.Z.";"Utrecht";"Road"
"Hogelandse Park";"Utrecht";"Rural area"
"Hogenhorstdreef";"Utrecht";"Road"
"Hogenoord";"Utrecht";"Road"
"Hogeweide";"Utrecht";"Road"
"Hogeweidebaan";"Utrecht";"Road"
"Hogeweidebrug";"Utrecht";"Art"
"Hogeweidevallei";"Utrecht";"Road"
"Hogewoerd";"De Meern";"Road"
"Hollaertpromenade";"Haarzuilens";"Road"
"Hollandse Toren";"Utrecht";"Road"
"Hollantlaan";"Utrecht";"Road"
"Holterberg";"Utrecht";"Road"
"Homeruslaan";"Utrecht";"Road"
"Hommelbrug";"Utrecht";"Art"
"Hondiuslaan";"Utrecht";"Road"
"Hondsrug";"Utrecht";"Road"
"Hondurasdreef";"Utrecht";"Road"
"Hongkongdreef";"Utrecht";"Road"
"Honingzwam";"Vleuten";"Road"
"Honswijkpolder";"De Meern";"Road"
"Hoofddijk";"Utrecht";"Road"
"Hooft Graaflandstraat";"Utrecht";"Road"
"Hoog Catharijnepassage";"Utrecht";"Road"
"Hooghiemstraplein";"Utrecht";"Road"
"Hoogravenseweg";"Utrecht";"Road"
"Hoogstraat";"Utrecht";"Road"
"Hoogt";"Utrecht";"Road"
"Hooivlinder";"Utrecht";"Road"
"Hoornbloemlaan";"Vleuten";"Road"
"Hopakker";"Utrecht";"Road"
"Horatiuslaan";"Utrecht";"Road"
"Horizon";"De Meern";"Road"
"Hortensiastraat";"Utrecht";"Road"
"Houdringelaan";"Utrecht";"Road"
"Houstondreef";"Utrecht";"Road"
"Houtensepad";"Utrecht";"Road"
"Houtrakgracht";"Utrecht";"Water"
"Houtrakgracht";"Utrecht";"Road"
"Houtrakkade";"De Meern";"Road"
"Houtrakkade";"Utrecht";"Road"
"Houtsnijderslaan";"De Meern";"Road"
"Houtstraat";"Utrecht";"Road"
"Houtwerf";"Vleuten";"Road"
"Hoveniersbrug";"Utrecht";"Art"
"Hoveniersstraat";"Utrecht";"Road"
"Hovenstraat";"Utrecht";"Road"
"Hubert Duyfhuysstraat";"Utrecht";"Road"
"Hubert Pootstraat";"Utrecht";"Road"
"Hudsondreef";"Utrecht";"Road"
"Huetlaan";"Utrecht";"Road"
"Hugo de Grootstraat";"Utrecht";"Road"
"Huis te Veenweg";"Utrecht";"Road"
"Huis te Vleutenbaan";"Vleuten";"Road"
"Huis te Vlietlaan";"Utrecht";"Road"
"Huis te Zuylenlaan";"Utrecht";"Road"
"Huis ten Boschlaan";"Utrecht";"Road"
"Huize de Geerlaan";"Utrecht";"Road"
"Huizingalaan";"Utrecht";"Road"
"Hulststraat";"Utrecht";"Road"
"Humberdreef";"Utrecht";"Road"
"Hunzestraat";"Utrecht";"Road"
"Huurweerstraat";"Utrecht";"Road"
"Huygensstraat";"Utrecht";"Road"
"Hyacintstraat";"Utrecht";"Road"
"Hyperonenweg";"Utrecht";"Road"
"Hysophof";"Utrecht";"Road"
"Ibisdreef";"Utrecht";"Road"
"Ida Mariapad";"Vleuten";"Road"
"Ida Mariapad";"De Meern";"Road"
"Idenburghof";"Utrecht";"Road"
"Idenburgstraat";"Utrecht";"Road"
"Ien Dalessingel";"Utrecht";"Road"
"Iepstraat";"Utrecht";"Road"
"IJlandsche wetering";"Utrecht";"Water"
"IJsheiligen";"De Meern";"Road"
"IJssel Wetering";"Utrecht";"Water"
"IJsselmonde";"De Meern";"Road"
"IJsselsteinlaan";"Utrecht";"Road"
"IJsselstraat";"Utrecht";"Road"
"IJsvogelhof";"Utrecht";"Road"
"IJzerdraadpad";"Utrecht";"Road"
"IJzervarensingel";"Vleuten";"Road"
"Ikarosdreef";"Utrecht";"Road"
"Imkerspad";"De Meern";"Road"
"Impalastraat";"Utrecht";"Road"
"Ina Boudier-Bakkerhof";"Utrecht";"Road"
"Ina Boudier-Bakkerlaan";"Utrecht";"Road"
"Incadreef";"Utrecht";"Road"
"Indusdreef";"Utrecht";"Road"
"Industriehaven";"Utrecht";"Water"
"Industriehavenbrug";"Utrecht";"Art"
"Ingen Houszstraat";"Utrecht";"Road"
"Inktzwamsingel";"Vleuten";"Road"
"Irving Berlinhof";"Utrecht";"Road"
"Isidoruspad";"Vleuten";"Road"
"Isotopenweg";"Utrecht";"Road"
"Israëlslaan";"Utrecht";"Road"
"Ivoordreef";"Utrecht";"Road"
"Ivoorzwamhof";"Vleuten";"Road"
"Ivoorzwamplaats";"Vleuten";"Road"
"Ivoorzwamsingel";"Vleuten";"Road"
"Ivor Novellostraat";"Utrecht";"Road"
"J C Bloemstraat";"Vleuten";"Road"
"J. Kinkerstraat";"Utrecht";"Road"
"Jaagpad";"Utrecht";"Road"
"Jaap Edendreef";"Utrecht";"Road"
"Jaarbeursplein";"Utrecht";"Road"
"Jachtstraat";"Utrecht";"Road"
"Jacob Cabeliaustraat";"Utrecht";"Road"
"Jacob Catsstraat";"Vleuten";"Road"
"Jacob Catsstraat";"Utrecht";"Road"
"Jacob Geelstraat";"Utrecht";"Road"
"Jacob Jonkerlaan";"Utrecht";"Road"
"Jacob Marisplein";"Vleuten";"Road"
"Jacob Simonsz. de Rijkstraat";"Utrecht";"Road"
"Jacob van Campenstraat";"Utrecht";"Road"
"Jacob van der Borchstraat";"Utrecht";"Road"
"Jacob van Ruisdaelstraat";"Utrecht";"Road"
"Jacob Westerbaenstraat";"Utrecht";"Road"
"Jacoba van Beierendreef";"Utrecht";"Road"
"Jacobibrug";"Utrecht";"Art"
"Jacobijnenstraat";"Utrecht";"Road"
"Jacobsgasthuissteeg";"Utrecht";"Road"
"Jacobskerkhof";"Utrecht";"Road"
"Jacobskerksteeg";"Utrecht";"Road"
"Jacques Offenbachplantsoen";"Utrecht";"Road"
"Jadelaan";"Utrecht";"Road"
"Jaffastraat";"Utrecht";"Road"
"Jagerskade";"Utrecht";"Road"
"Jakob Grimmstraat";"Utrecht";"Road"
"Jamaicadreef";"Utrecht";"Road"
"James Johnsonstraat";"Utrecht";"Road"
"Jan Cornelisz Maylaan";"Utrecht";"Road"
"Jan Greshofflaan";"De Meern";"Road"
"Jan Haringstraat";"Utrecht";"Road"
"Jan Ligthartplein";"Utrecht";"Road"
"Jan Luykenstraat";"Utrecht";"Road"
"Jan Meijenhofje";"Utrecht";"Road"
"Jan Meijenstraat";"Utrecht";"Road"
"Jan Muschlaan";"Utrecht";"Road"
"Jan Overdijkstraat";"Utrecht";"Road"
"Jan Pieterszoon Coenbrug";"Utrecht";"Art"
"Jan Pieterszoon Coenhof";"Utrecht";"Road"
"Jan Pieterszoon Coenstraat";"Utrecht";"Road"
"Jan Slauerhofflaan";"De Meern";"Road"
"Jan van Arkelstraat";"Utrecht";"Road"
"Jan van den Doemstraat";"Utrecht";"Road"
"Jan van der Doesstraat";"Utrecht";"Road"
"Jan van der Heijdenstraat";"Utrecht";"Road"
"Jan van Foreestbrug";"Utrecht";"Art"
"Jan van Foreeststraat";"Utrecht";"Road"
"Jan van Galenstraat";"Utrecht";"Road"
"Jan van Lingtuin";"Utrecht";"Rural area"
"Jan van Ransdorpstraat";"Utrecht";"Road"
"Jan van Scorelstraat";"Utrecht";"Road"
"Jan van Zutphenlaan";"Utrecht";"Road"
"Jan Vogellaan";"Vleuten";"Road"
"Jan Wolkerssingel";"Utrecht";"Road"
"Jansbrug";"Utrecht";"Art"
"Jansdam";"Utrecht";"Road"
"Jansdambrug";"Utrecht";"Art"
"Janskerkhof";"Utrecht";"Road"
"Janssoniuslaan";"Utrecht";"Road"
"Jansveld";"Utrecht";"Road"
"Japansetuinlaan";"Vleuten";"Road"
"Japurádreef";"Utrecht";"Road"
"Jara Beneshof";"Utrecht";"Road"
"Jasmijnstraat";"Utrecht";"Road"
"Jasondreef";"Utrecht";"Road"
"Javastraat";"Utrecht";"Road"
"Jazzboulevard";"Utrecht";"Road"
"Jazzsingel";"Utrecht";"Road"
"J.C. Verthorenhof";"Utrecht";"Road"
"J.C. Verthorenkade";"Utrecht";"Road"
"J.C. Verthorenpad";"Utrecht";"Road"
"J.C. Verthorenplaats";"Utrecht";"Road"
"J.D. van der Waalsstraat";"Utrecht";"Road"
"Jean Gilbertlaan";"Utrecht";"Road"
"Jeanne d'Arcdreef";"Utrecht";"Road"
"Jekerstraat";"Utrecht";"Road"
"Jenalaan";"Utrecht";"Road"
"Jeremias de Deckerstraat";"Utrecht";"Road"
"Jeremiebrug";"Utrecht";"Art"
"Jeremiestraat";"Utrecht";"Road"
"Jerome Kernplantsoen";"Utrecht";"Road"
"Jerry Bockstraat";"Utrecht";"Road"
"Jeruzalemstraat";"Utrecht";"Road"
"J.J.A. Goeverneurstraat";"Utrecht";"Road"
"J.M. de Muinck Keizerbrug";"Utrecht";"Art"
"J.M. de Muinck Keizerlaan";"Utrecht";"Road"
"J.M. Kemperstraat";"Utrecht";"Road"
"Jo ter Meulenhaghe";"Utrecht";"Road"
"Jo Wüthrichlaan";"Utrecht";"Road"
"Joan Miróstraat";"Utrecht";"Road"
"Joan Röellstraat";"Utrecht";"Road"
"Joannes J.F. Waplaan";"Utrecht";"Road"
"Jochem Uytdehaageplantsoen";"Utrecht";"Rural area"
"Jodenrijtje thans Bakkerstraat";"Utrecht";"Road"
"Jodocus van Lodensteinstraat";"Utrecht";"Road"
"Johan Brouwerlaan";"Utrecht";"Road"
"Johan Buziaulaan";"Utrecht";"Road"
"Johan de Meesterstraat";"Utrecht";"Road"
"Johan de Wittstraat";"Utrecht";"Road"
"Johan van Oldenbarneveltlaan";"Utrecht";"Road"
"Johan Wagenaarkade";"Utrecht";"Road"
"Johan Willem Frisostraat";"Utrecht";"Road"
"Johan Winnubstlaan";"Utrecht";"Road"
"Johann Sebastian Bachstraat";"Utrecht";"Road"
"Johann Strausslaan";"Utrecht";"Road"
"Johannes Beenlaan";"Utrecht";"Road"
"Johannes Brahmsstraat";"Utrecht";"Road"
"Johannes Camphuysstraat";"Utrecht";"Road"
"Johannes de Bekastraat";"Utrecht";"Road"
"Johannes Gerobulusstraat";"Utrecht";"Road"
"Johannes Uitenbogaertstraat";"Utrecht";"Road"
"Johannes van Andelstraat";"Utrecht";"Road"
"Johannes Vermeererf";"Vleuten";"Road"
"Johannes Vermeerstraat";"Utrecht";"Road"
"Johanniterhof";"Utrecht";"Road"
"Johanniterpad";"Utrecht";"Road"
"Johanniterpoort";"Utrecht";"Road"
"Johanniterweg";"Utrecht";"Road"
"John Coltranestraat";"Utrecht";"Road"
"John F Kennedylaan";"Vleuten";"Road"
"Joke Smitplein";"Utrecht";"Road"
"Jongeriusstraat";"Utrecht";"Road"
"Joostenlaan";"Haarzuilens";"Road"
"Joostenlaan";"Vleuten";"Road"
"Jopie Huismanstraat";"Utrecht";"Road"
"Joseph Haydnlaan";"Utrecht";"Road"
"Jule Stynestraat";"Utrecht";"Road"
"Julianabrug";"Utrecht";"Art"
"Julianalaan";"Vleuten";"Road"
"Julianalaan";"Utrecht";"Road"
"Julianapark";"Utrecht";"Rural area"
"Julianaparklaan";"Utrecht";"Road"
"Julianaweg";"Utrecht";"Road"
"Julius Susanlaan";"Vleuten";"Road"
"Juliusstraat";"Utrecht";"Road"
"Jungfrau";"Utrecht";"Road"
"Jupiterstraat";"Utrecht";"Road"
"Jura";"Utrecht";"Road"
"Justus van Effenstraat";"Utrecht";"Road"
"Justus van Maurikstraat";"Utrecht";"Road"
"Jutfasebrug";"Utrecht";"Art"
"Jutfasepad";"Utrecht";"Road"
"Jutfaseweg";"Utrecht";"Road"
"Juttepeerlaan";"Vleuten";"Road"
"Kaap de Goede Hooplaan";"Utrecht";"Road"
"Kaap Hoorndreef";"Utrecht";"Road"
"Kaapse Bossen";"Vleuten";"Road"
"Kaapse Bossenhof";"Vleuten";"Road"
"Kaapse Bossenplaats";"Vleuten";"Road"
"Kaardebol";"De Meern";"Road"
"Kaaszwamsingel";"Vleuten";"Road"
"Kaatstraat";"Utrecht";"Road"
"Kalisbrug";"Utrecht";"Art"
"Kalverstraat";"De Meern";"Road"
"Kalverstraat";"Utrecht";"Road"
"Kalymnosdreef";"Utrecht";"Road"
"Kameniersterlaan";"De Meern";"Road"
"Kamerlingh Onnesstraat";"Utrecht";"Road"
"Kamilleweg";"Utrecht";"Road"
"Kampereiland";"Utrecht";"Road"
"Kanaaldijk";"Utrecht";"Road"
"Kanaalstraat";"Utrecht";"Road"
"Kanaalweg";"Utrecht";"Road"
"Kanaalzichtlaan";"Utrecht";"Road"
"Kandinskystraat";"Utrecht";"Road"
"Kaneelhof";"Utrecht";"Road"
"Kanonstraat";"Utrecht";"Road"
"Kantbloemsingel";"Vleuten";"Road"
"Kantonnaleweg";"Utrecht";"Road"
"Kapelaan Rölinghof";"Utrecht";"Road"
"Kapelbrug";"Utrecht";"Art"
"Kapeldwarsweg";"Utrecht";"Road"
"Kapelpad";"Utrecht";"Road"
"Kapelstraat";"Utrecht";"Road"
"Kapelweg";"Utrecht";"Road"
"Kapteynlaan";"Utrecht";"Road"
"Karamelweg";"Utrecht";"Road"
"Karawanken";"Utrecht";"Road"
"Kardemomweg";"Utrecht";"Road"
"Kardinaal Alfrinkplein";"Utrecht";"Road"
"Kardinaal de Jongweg";"Utrecht";"Road"
"Karel Doormanlaan";"Utrecht";"Road"
"Karel Doormanstraat";"De Meern";"Road"
"Karel Glastra van Loonpad";"Utrecht";"Road"
"Kariboestraat";"Utrecht";"Road"
"Karl Marxdreef";"Utrecht";"Road"
"Karl Millöckerhof";"Utrecht";"Road"
"Karmelietenhof";"Utrecht";"Road"
"Karpaten";"Utrecht";"Road"
"Karpathosdreef";"Utrecht";"Road"
"Karperstraat";"Utrecht";"Road"
"Karwijstraat";"Utrecht";"Road"
"Kasaidreef";"Utrecht";"Road"
"Kassandradreef";"Utrecht";"Road"
"Kastanjestraat";"Utrecht";"Road"
"Kasteellaan";"Haarzuilens";"Road"
"Kastelenplantsoen";"Utrecht";"Rural area"
"Kastelenplantsoen";"Utrecht";"Road"
"Kastordreef";"Utrecht";"Road"
"Kate ter Horstsingel";"Utrecht";"Road"
"Katherijn van Leemputdreef";"Utrecht";"Road"
"Kattenkruidweg";"Utrecht";"Road"
"Keerderberg";"De Meern";"Road"
"Keerkring";"De Meern";"Road"
"Keerkringplein";"Utrecht";"Road"
"Kees Valkensteinlaan";"Vleuten";"Road"
"Kees van Bohemenhof";"Utrecht";"Road"
"Kees van Dongensingel";"Utrecht";"Road"
"Keggedreef";"Utrecht";"Road"
"Keistraat";"Utrecht";"Road"
"Keizersgracht";"Utrecht";"Road"
"Keizershof thans Lange Jufferstraat";"Utrecht";"Road"
"Keizersmantelhof";"Utrecht";"Road"
"Keizerstraat";"Utrecht";"Road"
"Kelvinlaan";"Utrecht";"Road"
"Kemal Atatürkstraat";"Utrecht";"Road"
"Kenaustraat";"Utrecht";"Road"
"Kennedylaan";"Utrecht";"Road"
"Kent";"Utrecht";"Road"
"Kenyadreef";"Utrecht";"Road"
"Kerckeboslaan";"De Meern";"Road"
"Kerkdwarsstraat";"Utrecht";"Road"
"Kerkeindsche Vaart";"Utrecht";"Water"
"Kerkeindsepolder";"De Meern";"Road"
"Kerksteeg";"Utrecht";"Road"
"Kerkstraat";"De Meern";"Road"
"Kerkstraat";"Utrecht";"Road"
"Kerkweg";"Utrecht";"Road"
"Kernhaven";"Utrecht";"Water"
"Kernkade";"Utrecht";"Road"
"Kernkampplantsoen";"Utrecht";"Road"
"Kernweg";"Utrecht";"Road"
"Kerrieweg";"Utrecht";"Road"
"Kershoflaan";"Utrecht";"Road"
"Kersstraat";"Utrecht";"Road"
"Kervelhof";"Utrecht";"Road"
"Ketjapweg";"Utrecht";"Road"
"Keucheniusstraat";"Utrecht";"Road"
"Keukenstraat";"Utrecht";"Road"
"Keulsekade";"Utrecht";"Road"
"Kievitbrug";"Utrecht";"Art"
"Kievitdwarsstraat";"Utrecht";"Road"
"Kievitstraat";"Utrecht";"Road"
"KIJK UIT";"Vleuten";"Art"
"Kintgenshaven";"Utrecht";"Road"
"Kladdewortel";"De Meern";"Road"
"Klaroenlaan";"Utrecht";"Road"
"Klaverstraat";"Utrecht";"Road"
"Kleermakerslaan";"De Meern";"Road"
"Kleine Geertekerkhof";"Utrecht";"Road"
"Kleine Hof";"Vleuten";"Road"
"Kleine Slachtstraat";"Utrecht";"Road"
"Kleinesingel";"Utrecht";"Road"
"Klifrakplantsoen";"De Meern";"Road"
"Klifrakplantsoen";"Utrecht";"Road"
"Klimopstraat";"Utrecht";"Road"
"Klipspringerdreef";"Utrecht";"Road"
"Klokjesbloemlaan";"Vleuten";"Road"
"Kloksteeg";"Utrecht";"Road"
"Kloosterbrug";"De Meern";"Art"
"Kloosterlaan";"Utrecht";"Road"
"Kloosterpark";"De Meern";"Road"
"Kloosterpark";"De Meern";"Rural area"
"Kloosterweide";"Vleuten";"Road"
"Klopdijk";"Utrecht";"Road"
"Klopvaart";"Utrecht";"Water"
"Kneppelhoutstraat";"Utrecht";"Road"
"Knipstraat";"Utrecht";"Road"
"Knoflookweg";"Utrecht";"Road"
"Knolruskade";"Vleuten";"Road"
"Knooppunt Laagraven";"Utrecht";"Road"
"Knooppunt Lunetten";"Utrecht";"Road"
"Knooppunt Oudenrijn";"Utrecht";"Road"
"Knooppunt Rijnsweerd";"Utrecht";"Road"
"Knopstraat";"Utrecht";"Road"
"Ko Mulderhaghe";"Utrecht";"Road"
"Kobaltweg";"Utrecht";"Road"
"Kockstraat";"Utrecht";"Road"
"Koekoekbrug";"Utrecht";"Art"
"Koekoeksplein";"Utrecht";"Road"
"Koekoekstraat";"Utrecht";"Road"
"Koekoeksvaart";"Utrecht";"Water"
"Koeriersterslaan";"Utrecht";"Road"
"Koetsierlaan";"Vleuten";"Road"
"Koeweitdreef";"Utrecht";"Road"
"Koffieweg";"Utrecht";"Road"
"Kögllaan";"Utrecht";"Road"
"Kokardebloemlaan";"Vleuten";"Road"
"Kokkenhoflaan";"Utrecht";"Road"
"Koldijksterraklaan";"Utrecht";"Road"
"Koldijksterrakplantsoen";"Utrecht";"Rural area"
"Kolibrievlinder";"Utrecht";"Road"
"Kolland";"Vleuten";"Road"
"Kollumerland";"Utrecht";"Road"
"Komeetstraat";"Utrecht";"Road"
"Komijnweg";"Utrecht";"Road"
"Koningin Wilhelminalaan";"Utrecht";"Road"
"Koningsbergerstraat";"Utrecht";"Road"
"Koningshof";"Vleuten";"Road"
"Koningslaan";"Utrecht";"Road"
"Koningsweg";"Utrecht";"Road"
"Kooikerspad";"De Meern";"Road"
"Koolstraat";"Utrecht";"Road"
"Koolwitjeshof";"Utrecht";"Road"
"Koolwitjeslaan";"Utrecht";"Road"
"Kopenhagenstraat";"Utrecht";"Road"
"Kopenhagenviaduct";"Utrecht";"Art"
"Koploperstraat";"Utrecht";"Road"
"Koppelbrug";"Utrecht";"Art"
"Koppeldijk";"Utrecht";"Road"
"Koppestokstraat";"Utrecht";"Road"
"Koraalzwamplantsoen";"Vleuten";"Road"
"Korenbloemstraat";"Utrecht";"Road"
"Korfoedreef";"Utrecht";"Road"
"Korianderstraat";"Utrecht";"Road"
"Kornalijnlaan";"Utrecht";"Road"
"Korne";"De Meern";"Road"
"Korte Elisabethstraat";"Utrecht";"Road"
"Korte Hamstraat";"Utrecht";"Road"
"Korte Jansstraat";"Utrecht";"Road"
"Korte Jufferstraat";"Utrecht";"Road"
"Korte Koestraat";"Utrecht";"Road"
"Korte Lauwerstraat";"Utrecht";"Road"
"Korte Minrebroederstraat";"Utrecht";"Road"
"Korte Nieuwstraat";"Utrecht";"Road"
"Korte Rietsteeg";"Utrecht";"Road"
"Korte Rozendaal";"Utrecht";"Road"
"Korte Smeestraat";"Utrecht";"Road"
"Korte Vosstraat";"Utrecht";"Road"
"Kortland";"Vleuten";"Road"
"Kortrijkpolder";"De Meern";"Road"
"Kosdreef";"Utrecht";"Road"
"Kouwerplantsoen";"Utrecht";"Road"
"Kouwerplantsoen";"Utrecht";"Rural area"
"Kovelaarstraat";"Utrecht";"Road"
"Kozakkenweg";"Utrecht";"Road"
"Kraanstraat";"Utrecht";"Road"
"Kralingseboslaan";"De Meern";"Road"
"Kranenburgerweg";"Utrecht";"Road"
"Kreekraklaan";"Utrecht";"Road"
"Kretadreef";"Utrecht";"Road"
"Kriekenpitplein";"Utrecht";"Road"
"Krijtstraat";"Utrecht";"Road"
"Krikkelaan";"Utrecht";"Road"
"Kromhoutweg";"Utrecht";"Road"
"Kromme Boomgaard";"Vleuten";"Road"
"Kromme Elleboogsteeg";"Utrecht";"Road"
"Kromme Nieuwegracht";"Utrecht";"Water"
"Kromme Nieuwegracht";"Utrecht";"Road"
"Kromme Rijn";"Utrecht";"Water"
"Krommerijn";"Utrecht";"Road"
"Krommerijnbrug";"Utrecht";"Art"
"Krommewetering";"Utrecht";"Road"
"Kronosdreef";"Utrecht";"Road"
"Kroonsteeg";"Utrecht";"Road"
"Kroonstraat";"Utrecht";"Road"
"Krophollerstraat";"Utrecht";"Road"
"Krugerstraat";"Utrecht";"Road"
"Kruidenlaan";"Utrecht";"Road"
"Kruidentuinlaan";"Vleuten";"Road"
"Kruidnagelweg";"Utrecht";"Road"
"Kruisberg";"De Meern";"Road"
"Kruisdwarsstraat";"Utrecht";"Road"
"Kruisstraat";"Utrecht";"Road"
"Kruisvaart";"Utrecht";"Water"
"Kruisvaartbrug";"Utrecht";"Art"
"Kruisweg";"Utrecht";"Road"
"Kruiswortel";"De Meern";"Road"
"Kuinderboslaan";"De Meern";"Road"
"Kuipersteeg";"Utrecht";"Road"
"KW. Belcampostraat";"Utrecht";"Art"
"KW. Europaweg";"Vleuten";"Art"
"KW. Haarrijnse rading";"Vleuten";"Art"
"KW. Het Lint-Terwijde";"Vleuten";"Art"
"KW. Het Lint-Vleuten";"Utrecht";"Art"
"KW. Hooggelegen";"Utrecht";"Art"
"KW. John F Kennedylaan";"Vleuten";"Art"
"KW. Musicallaan";"Utrecht";"Art"
"KW. Odenveltlaan";"Vleuten";"Art"
"KW. Operettelaan";"Utrecht";"Art"
"KW. Parkzichtlaan";"Utrecht";"Art"
"KW. Ridderhoflaan";"Vleuten";"Art"
"KW. Rijnkennemerlaan";"Utrecht";"Art"
"KW. Rivierkom";"Vleuten";"Art"
"KW. Wilhelminalaan";"Vleuten";"Art"
"Kwangodreef";"Utrecht";"Road"
"Kwartelstraat";"Utrecht";"Road"
"Kweekstraat";"Utrecht";"Road"
"Kweektuinlaan";"Vleuten";"Road"
"La Bohèmedreef";"Utrecht";"Road"
"La Croixstraat";"Utrecht";"Road"
"La Fontainestraat";"Utrecht";"Road"
"La Pazdreef";"Utrecht";"Road"
"La Traviatadreef";"Utrecht";"Road"
"Laag-Nieuwkoopsebuurtweg";"Haarzuilens";"Road"
"Laak";"De Meern";"Road"
"Laan va Sofia";"Utrecht";"Road"
"Laan van Chartroise";"Utrecht";"Road"
"Laan van Engelswier";"Utrecht";"Road"
"Laan van Kovelswade";"Utrecht";"Road"
"Laan van Maarschalkerweerd";"Utrecht";"Road"
"Laan van Minsweerd";"Utrecht";"Road"
"Laan van Moskou";"Utrecht";"Road"
"Laan van Nieuw-Guinea";"Utrecht";"Road"
"Laan van Puntenburg";"Utrecht";"Road"
"Laan van Sarajevo";"Utrecht";"Road"
"Laan van Soestbergen";"Utrecht";"Road"
"Laan van Warschau";"Utrecht";"Road"
"Laan 1954";"De Meern";"Road"
"Labradordreef";"Utrecht";"Road"
"Laddersteeg";"Utrecht";"Road"
"Lage Hoeve";"Vleuten";"Road"
"Lagehaarsedijk";"Haarzuilens";"Road"
"Lagenoord";"Utrecht";"Road"
"Lageweidebrug";"Utrecht";"Art"
"Lageweideviaduct";"Utrecht";"Art"
"Lageweidseslag";"Utrecht";"Road"
"Lahoredreef";"Utrecht";"Road"
"Lakenvelderstraat";"Utrecht";"Road"
"Lamadreef";"Utrecht";"Road"
"Lamérislaan";"Utrecht";"Road"
"Lamstraat";"Utrecht";"Road"
"Landschapsbaan";"Vleuten";"Road"
"Landskroondreef";"Utrecht";"Road"
"Landzigt";"De Meern";"Road"
"Lange Elisabethstraat";"Utrecht";"Road"
"Lange Hagelstraat";"Utrecht";"Road"
"Lange Jansstraat";"Utrecht";"Road"
"Lange Jufferstraat";"Utrecht";"Road"
"Lange Koestraat";"Utrecht";"Road"
"Lange Lauwerstraat";"Utrecht";"Road"
"Lange Nieuwstraat";"Utrecht";"Road"
"Lange Rozendaal";"Utrecht";"Road"
"Lange Smeestraat";"Utrecht";"Road"
"Lange Viestraat";"Utrecht";"Road"
"Lange Vliet";"De Meern";"Water"
"Lange Vliet";"De Meern";"Road"
"Lange Vliet";"Utrecht";"Water"
"Langerakbaan";"De Meern";"Road"
"Langerakbaan";"Utrecht";"Road"
"Langerakbrug";"De Meern";"Art"
"Langeraksingel";"De Meern";"Water"
"Langeraksingel";"Utrecht";"Water"
"Lanslaan";"Utrecht";"Road"
"Lanuariusweg";"De Meern";"Road"
"Larixstraat";"Utrecht";"Road"
"Larserboslaan";"De Meern";"Road"
"Laurens Reaalstraat";"Utrecht";"Road"
"Laurierweg";"Utrecht";"Road"
"Lauwerecht";"Utrecht";"Road"
"Lauwerechtbrug";"Utrecht";"Art"
"Lauwerhof";"Utrecht";"Road"
"Lauwersteeg";"Utrecht";"Road"
"Lavendelstraat";"Utrecht";"Road"
"Ledig Erf";"Utrecht";"Road"
"Leeghwaterstraat";"Utrecht";"Road"
"Leenderboslaan";"Vleuten";"Road"
"Leersumse Veld";"Vleuten";"Road"
"Leersumse Veldplaats";"Vleuten";"Road"
"Leeuwerikstraat";"Utrecht";"Road"
